1	14.2195
2	14.2203
3	14.2172
4	14.2099
5	14.2145
6	14.2125
7	14.1985
8	14.1889
9	14.1725
10	14.1704
11	14.1677
12	14.1658
13	14.1696
14	14.1834
15	14.1928
16	14.195
17	14.2051
18	14.2247
19	14.232
20	14.2376
21	14.2589
22	14.2501
23	14.2525
24	14.2631
25	14.255
26	14.2577
27	14.2374
28	14.2271
29	14.2264
30	14.2198
31	14.2205
32	14.2199
33	14.2224
34	14.2277
35	14.2496
36	14.2629
37	14.2742
38	14.2842
39	14.2912
40	14.3012
41	14.2961
42	14.2988
43	14.3197
44	14.3219
45	14.3255
46	14.3084
47	14.3205
48	14.3257
49	14.3358
50	14.3345
51	14.343
52	14.359
53	14.364
54	14.3622
55	14.3739
56	14.3854
57	14.4004
58	14.4084
59	14.401
60	14.4049
61	14.3983
62	14.4232
63	14.4235
64	14.4455
65	14.4571
66	14.4627
67	14.4891
68	14.5224
69	14.5242
70	14.559
71	14.5834
72	14.5927
