1	9.266
2	9.2771
3	9.2897
4	9.2774
5	9.2777
6	9.2933
7	9.3198
8	9.3267
9	9.3122
10	9.3054
11	9.3303
12	9.3473
13	9.3579
14	9.3837
15	9.3493
16	9.3691
17	9.3696
18	9.362
19	9.3534
20	9.3491
21	9.34
22	9.3303
23	9.3618
24	9.3594
25	9.3408
26	9.4137
27	9.3815
28	9.3971
29	9.3842
30	9.4401
31	9.4441
32	9.4206
33	9.4205
34	9.3778
35	9.3479
36	9.3516
37	9.3754
38	9.3484
39	9.3881
40	9.3781
41	9.3865
42	9.3829
43	9.3627
44	9.3669
45	9.363
46	9.3488
47	9.3882
48	9.385
49	9.3872
50	9.4023
51	9.4143
52	9.4434
53	9.4414
54	9.4037
55	9.4035
56	9.4135
57	9.4269
58	9.441
59	9.4457
60	9.4427
61	9.4704
62	9.4594
63	9.4731
64	9.4807
65	9.5027
66	9.4994
67	9.5192
68	9.5271
69	9.5222
70	9.5426
71	9.552
72	9.561
